x1 x2 x3 x4
0.429110558154803 0.227183785651724 0.0820992399941164 0.261606416199356
0.0171813067668646 0.887816852657124 0.0694108790952537 0.0255909614807572
0.00686290157766085 0.0187442299103197 0.159640213641047 0.814752654870972
0.169250897830352 0.216134369460569 0.429523107158098 0.18509162555098
0.421503510791808 0.154507867188157 0.00471405333931563 0.419274568680719
0.209398736944422 0.41914001597066 0.333296602874069 0.0381646442108487
0.778043812140822 0.0280414011071615 0.109370150240214 0.0845446365118025
0.000126999211251359 0.000763533706665154 0.0171024618301394 0.982007005251944
0.0794494951053192 0.204611568994389 0.236164852278307 0.479774083621985
0.145558086327944 0.194065833975131 0.542854325230928 0.117521754465997
0.279052508387067 0.0563716556290262 0.100647361311768 0.563928474672139
0.028120802367599 0.0273517068131415 0.308624173803641 0.635903317015618
0.445781176676974 0.0897485405267947 0.359144940356835 0.105325342439397
0.523803459713235 0.271060607056824 0.174296209612013 0.0308397236179281
0.247969412342727 0.142402495860637 0.566663642646745 0.0429644491498913
0.338865782832727 0.607956990481766 0.0510643698446602 0.00211285684084728
0.968931252602488 0.00423893678002249 0.0203166953322556 0.00651311528523414
0.0207402564668649 0.0620578343128123 0.635036703199148 0.282165206021175
0.0405578576574103 0.35223617857263 0.221001745278047 0.386204218491912
0.130044299357927 0.00831302558176981 0.000809148936988024 0.860833526123315
0.861413617385551 0.00167788608337704 0.136747567478234 0.000160929052837368
0.585357659030706 0.125881869100539 0.111448202024704 0.177312269844052
0.120073918951675 0.0104749468020728 0.846076867589476 0.023374266656776
0.0454450883261576 0.787134114187211 0.0443629260486881 0.123057871437944
0.00452641893861977 0.433459085162704 0.00741609972034085 0.554598396178335
0.380172350654584 0.522309408199299 0.0288903440814465 0.0686278970646707
0.241688958005332 0.248830636212116 0.19241418847555 0.317066217307001
0.498594671720639 0.0425951287627199 0.137983959625424 0.320826239891217
0.0727906785048386 0.380647917831532 0.393386101583019 0.15317530208061
0.0602679547603449 0.0774254791840786 0.804368640296161 0.0579379257594154
0.0111787823049841 0.0202808909531595 0.509941735537723 0.458598591204134
0.191705839422628 0.0379772133046682 0.620736501645297 0.149580445627407
0.709960934473202 0.0414998355177488 0.184167768704992 0.0643714613040579
0.158193119420812 0.336581180142513 0.269095393596217 0.236130306840458
0.00332053301595214 0.299762800801545 0.680863910597457 0.0160527555850454
0.103994631923161 0.0980641895164948 0.0915643801093975 0.706376798450947
0.0322884404373086 0.611810730049903 0.031428542774333 0.324472286738455
0.298588670895985 0.0616236983270451 0.00334993972732001 0.63643769104965
0.0588123770396655 0.69657639406095 0.0405157990753651 0.204095429824019
0.0372990983418114 0.946723813889548 0.00409455414807553 0.0118825336205649
